title,address,price,area,bath,room,property_type,description,year,parking,near_cc,near_school,near_parks,near_avenue,security,elevator,rest_area,pool
Venta Departamento En Chorrillos - Duplex 602,"Malecon Grau, Chorrillos, Perú  Chorrillos, Provincia de Lima, Provincia de Lima",220000.0,80,1,1,Casa,"Departamento duplex con vista al mar, impecable, piso 6, guardianía, duplex. Hall de ingreso, sala, comedor, comedor de diario, living-comedor, kitchenette, 1 dormitorio, 1.0 baño, 1 baño incorporado, lavandería. Terraza, cochera tipo paralelas en sotano, 2 ascensores, ascensor. Areas comunes, permite mascotas, area de bbq.",0,1,0,0,0,1,1,1,1,0
Venta De Moderno Dpto. Exclusivo Primer Piso Comas Moderna,"Av. Universitaria, Comas, Perú  Comas, Lima, Lima",115676.0,100,2,3,Departamento,¡ES BROMA? ¡UN DEPARTAMENTO FLAT POR CUANTO? INCREIBLE PERO CIERTO!!!,2023,0,0,0,0,0,0,0,0,0
Lindo Proyecto Edificio A Pocas Cuadras Av Ejercito Y Av Cayma Excelente Ubicación,"Pasaje Santa Cruz, Cayma, Perú  Cayma, Arequipa, Arequipa",142500.0,106,3,3,Departamento,EXCLUSIVO PROYECTO DE 11 DEPARTAMENTOS,2023,1,1,1,1,1,0,0,0,0
¡ELIGE ENTRE 2 Y 3 DORMITORIOS EN PIEDRA SANTA!,"Yanahuara, Arequipa, Arequipa",116757.0,86,2,2,Departamento,"¡Bienvenidos al proyecto Piedra Santa, un lugar donde encontrarás tu hogar ideal!",2024,1,0,0,1,0,0,0,1,0
Venta Departamento 2 Dormitorios en Villa El Salvador,"Villa El Salvador, Lima, Lima",36000.0,50,1,2,Departamento,Venta Departamento 2 Dormitorios en Villa El Salvador,0,0,0,0,0,0,0,0,1,0
VENDO CASA EN ESQUINA MUY BUENA UBICACIÓN,"Bellavista, Callao, Callao",100000.0,58,1,2,Casa,VENDO CASA EN ESQUINA IDEAL PARA ALGUN PROYECTO INMOBILIARIO EN MUY BUENA UBICACIÓN FRENTE A PARQUE Y CERCA A AVENIDAS PEINCIPALES COLEGIOS Y CENTROS COMERCIALES,0,0,1,1,1,1,0,0,0,0
"Vendo Departamento en 5to piso, frente Ovalo 200 Millas. Callao.","Auxiliar Av. Néstor Gambetta 200, Ventanilla, Callao, Perú  Ventanilla, Callao, Callao",30450.0,68,1,2,Departamento,"Mantyobras Inmobiliaria tiene a la venta un Departamento en quinto piso de un edificio de cinco pisos, sin ASCENSOR, en Calle 7 con la auxiliar de Néstor Gambetta, frente a puente peatonal y/o Ovalo 200 Millas, de la Urb. 200 Millas, Callao.",2013,0,1,0,0,1,0,1,0,0
"Vendo departamento, Jr. Nazca, 2do piso, cerca de Plaza Vea, Callao.","Jr. Nazca, Callao, Perú  Callao, Callao, Callao",49400.0,66,1,2,Departamento,:,2010,0,1,0,0,1,0,0,0,0
"Vendo departamento, pasaje Los Azahares, Callao","Azahares, Callao, Perú  Callao, Callao, Callao",63550.0,121,1,4,Departamento,"MantyObras Inmobiliaria tiene a la venta un DEPARTAMENTO EN EL SEGUNDO PISO, del Pasaje Los Azahares, Urb. Vipol Bocanegra, Distrito y Provincia del Callao.",2010,0,0,0,1,1,0,0,1,0
"Vendo departamento 3er piso, Jr. Nazca, Urb. Santa Marina, Callao","Jr. Nazca, Callao, Perú  Callao, Callao, Callao",46984.0,66,1,2,Departamento,"MantyObras Inmobiliaria tiene a la venta un DEPARTAMENTO TERCER PISO, ubicado en el Jr. Nazca, Distrito, Provincia y Región del Callao.",2012,0,1,1,1,1,0,0,0,0
VENDO LINDO DEPARTAMENTO EN EL CALLAO,"Bellavista, Callao, Callao",58000.0,69,1,2,Departamento,Vendo acogedor departamento en Bellavista 4to piso dentro de condominio con seguridad las 24 HRS.,0,0,1,1,0,1,1,0,0,0
"BELLAVISTA CASA PRIMER PISO, A MEDIA CUADRA DE PARQUE SEGURIDAD Y TRANQUILIDAD","Carlos Arrieta 109, Bellavista, Perú  Bellavista, Callao, Callao",120000.0,160,1,2,Casa,"Muy bien ubicada en la zona con mayor tranquilidad y seguridad de Bellavista a una cuadra del parque Stella Maris, cerca de colegios públicos y privados, clínicas y hospitales, a un paso de la Universidad Nacional del Callao y del Polideportivo del Callao con el Coliseo, Piscina y Estadio Miguel Graú, de fácil acceso por las avenidas Oscar R Benavides, Juan Pablo Segundo y muy pronto estará construida la estación de la línea 2 del metro de Lima. Es una acogedora casa en primer piso con ingreso independiente y 2 habitaciones , sala y comedor, cocina nueva recién remodelada, patio posterior y lavandería. Tendido de red Cálidda para la zona, cochera para un vehÍculo. Es una muy buena oportunidad con muy buen precio. Visitas programadas",2003,1,0,1,1,1,1,0,1,1
Venta de casa a precio de terreno en Mi Peru En Ventanilla,"Vereda 11B, Ah. Mi Peru Grupo B, Mi Perú, Callao, 07056, PER  Mi Perú, Callao, Callao",55000.0,90,2,5,Casa,Oportunidad!!,1993,1,1,1,1,1,0,0,0,0
se vende amplio y acogedor dpto remodelado en santa marina norte,"Santa Marina Norte, Callao, Perú  Callao, Callao, Callao",65000.0,106,2,4,Departamento,SE VENDE ACOGEDOR Y AMPLIO DEPARTAMENTO EN UNA DE LAS URBANIZACIONES MAS BONITAS DEL CALLAO.,1969,0,0,0,0,0,0,0,0,0
Venta departamento Saenz Peña Callao,"Av Saenz Peña 1329, Callao 07021, Perú  Callao, Callao, Callao",110000.0,130,2,3,Departamento,"Vendo departamento en el Callao Av. Saenz Peña 1327, 2do, 3er piso mas azotea propiedad única.",0,0,0,0,0,0,0,0,0,0
Casa de 3 Pisos en Venta Insurgentes Callao,"Av. de los Insurgentes 1975, Callao, Perú  Callao, Callao, Callao",290000.0,408,4,8,Casa,Casa de 3 pisos construidos + azotea en venta,1993,1,0,1,1,1,0,0,1,0
"SE VENDE ACOGEDORA CASA EN VENTANILLA SATELITE CALLE 9 2 PISOS $175,000","Ventanilla, Callao, Callao",175000.0,200,3,6,Casa,TÚ Y TU FAMILIA TIENEN QUE SER LOS PRIMEROS EN VISITAR ESTA ACOGEDORA CASA Y SABEMOS QUE QUERRÁN QUEDARSE PARA SIEMPRE… SÍ AMA A SU FAMILIA… DEBE COMPRAR ESTA CASA!!!,0,1,0,1,1,0,0,0,1,0
¡OPORTUNIDAD ÚNICA! DEPARTAMENTO EN VENTA EN QUINTO PISO EN SAN LUIS (HGiraldo-Lima2),"Las Violetas 111, San Luis, Perú  San Luis, Lima, Lima",70000.0,56,2,3,Departamento,"El departamento se encuentra en la Urbanización Las Violetas, cerca de la Av. Canadá y a pocos minutos de la Av. Rosa Toro, la Av. San Luis y la Av. Aviación, lo que lo hace accesible a varias vías importantes de la zona. Además, está cerca de bancos, farmacias, bodegas y restaurantes, lo cual puede ser conveniente para el día a día.",2015,0,1,1,1,1,0,0,0,0
Vendo Departamento Primer Piso En Villa Maria,"Villa María del Triunfo, Lima, Lima",85000.0,82,1,2,Departamento,"Se ofrece un departamento excelente ubicado a media cuadra del mercado modelo en Villa Maria. El departamento cuenta con 2 habitaciones, sala, cocina y 1 baño, lo que lo hace ideal para una pequeña familia o un grupo de amigos que deseen vivir en un lugar cómodo y acogedor.",2015,0,0,1,1,1,0,0,0,0
VENTA DEPARTAMENTO + AIRES EN URB. VILLA JARDIN – SAN LUIS,"La Compañía 115, San Luis, Perú  San Luis, Lima, Lima",174800.0,175,2,4,Departamento,CONTACTO: EDUARDO QUIROGA HERRAN,2009,0,1,1,1,1,0,0,0,0
Departamento en Condomino Los Nogales - El Agustino Límite con Santa Anita,"Av. los Nogales 251, El Agustino, Lima, Perú  Villa María del Triunfo, Lima, Lima",82000.0,77,2,3,Departamento,"Vive en un moderno condominio ubicado a un paso de Evitamiento, puente Amarillo o Nogales, a minutos del Mall de Santa Anita y cerca del Jockey Plaza.Cerca al Centro Bancario de Santa Anita, MAKRO, Colegios, Hospitales, universidades.",2015,0,1,1,1,1,0,0,0,0
Encantadora Casa en Villa Maria del Triunfo a un Buen Precio,"Limatambo, Vallecito Alto, Villa María del Triunfo, Perú  Villa María del Triunfo, Lima, Lima",149000.0,223,2,5,Departamento,"Linda casa con acabados modernos ubicada en zona céntrica, cerca a parques, farmacias, colegios, mercados, puestos de salud, etc.",2008,1,1,1,1,1,0,0,0,0
Casa Amoblada En Villa Maria Del Triunfo,"Villa María del Triunfo, Lima, Lima",259019.0,480,7,10,Casa,GRUPO MENACHO INVERSIONES S.A.C. - RUC:20606871946,2013,0,0,0,0,0,0,0,0,0
Vendo Amplio Duplex En Villa María Del Triunfo,"Pje. Guardia Civil, Villa María del Triunfo, Perú  Villa María del Triunfo, Lima, Lima",95000.0,165,2,3,Departamento,Vendo Amplio Duplex En Villa María Del Triunfo,1967,0,0,0,0,0,0,0,0,0
Casas de Playa - Townhouse - Tumbes - Bocapan,"Bocapán, Tumbes, Perú  Zorritos, Contralmirante Villar, Tumbes",95000.0,135,2,2,Casa,CONTACTO: ROSARIO PASCUAL // CEL: 941*043*193,0,1,1,0,0,1,0,0,0,0
"VENDO DPTO VILLA MARIA TRIUNFO 3CER PISO / AREA 50M2 / S/. 88,000 SOLES / NVA. ESPERANZA PDO.4.","Jirón Quillabamba 101-147, Cuadra 1, Pj. Virgen De Lourdes, Villa María del Triunfo, Lima, 15817, PER  Villa María del Triunfo, Lima, Lima",23784.0,50,1,2,Departamento,"VENDO DPTO VILLA MARIA TRIUNFO 3CER PISO / AREA 50M2 / S/. 88,000 SOLES / NVA. ESPERANZA PDO.4.",2020,0,0,1,1,1,0,0,0,0
Vendo Departamento En Mariano Pastor Sevilla - Pueblo Libre,"Mariano Pastor Sevilla, Villa EL Salvador, Perú  Villa El Salvador, Lima, Lima",140000.0,71,2,3,Departamento,"Adquiere este bellísimo departamento en Jirón Pastor Sevilla N°188, ubicado en una linda zona residencial, paralela Simón Bolivar, donde tienes accesos a los mejores comercios y facilidad para trasladarte a donde quieras. El edificio tiene dos ingreso: Av Bolivar y Calle Pasto Sevilla",0,1,1,1,0,1,0,0,0,0
Departamentos en Estreno en Zona Céntrica de Villa El Salvador,"Avenida El Sol, Villa El Salvador Sector II Grupo 21, Lima, Perú  Villa El Salvador, Lima, Lima",65000.0,90,2,3,Departamento,"Tu nuevo hogar esta aquí!!, Departamentos en estreno ubicados en zona céntrica del distrito de Villa el Salvador entre avenidas principales como Av. El Sol y Micaela Batidas.",2023,1,0,1,1,1,0,0,1,0
Casa en Venta Villa El Salvador,"Calle G 7, Villa EL Salvador, Lima Province, Perú  Villa El Salvador, Lima, Lima",345000.0,536,6,10,Casa,"CASA RENTABLE EN VILLA EL SALVADOR ¡VIVE EN ELLA, RECUPERA Y HAZ CRECER TU INVERSIÓN AL MISMO TIEMPO!",0,0,0,0,0,0,0,0,0,0
"Oportunidad Venta De Departamento En Villa El Salvador 140m2, USD 69,000","Villa El Salvador, Lima, Lima",69000.0,140,2,3,Departamento,"Te presento este encantador departamento situado en una ubicación privilegiada, en las cercanías de las avenidas Mariano Pastor Sevilla y Universitaria. Estratégicamente ubicado tan solo unas cuadras del Parque Zonal Huascar, este lugar te brinda acceso a una variedad de servicios y comodidades en sus alrededores.",2021,0,0,1,1,1,0,0,1,0
"Oportunidad Venta De Departamento En Villa El Salvador, 140m2, USD 63,000","Villa El Salvador, Lima, Lima",63000.0,140,2,3,Departamento,"Te presento este encantador departamento situado en una ubicación privilegiada, en las cercanías de las avenidas Mariano Pastor Sevilla y Universitaria. Estratégicamente ubicado tan solo unas cuadras del Parque Zonal Huascar, este lugar te brinda acceso a una variedad de servicios y comodidades en sus alrededores.",2021,0,0,1,1,1,0,0,0,0
"SE VENDE CASA EN AVENIDA, SECTOR 4, VILLA EL SALVADOR","Q39G+C97, Guardia Republicana, Villa EL Salvador 15836, Perú  Villa el Salvador, Provincia de Lima, Provincia de Lima",170000.0,350,5,9,Casa,"¡SE VENDE CASA DE 4 PISOS , PRIMERA ETAPA, SECTOR IV, EN AVENIDA!",0,0,0,0,0,0,0,0,0,0
Casa Con Local Comercial En Villa El Salvador,"Villa El Salvador, Lima, Lima",168000.0,370,3,8,Casa,GRUPO MENACHO INVERSIONES S.A.C. - RUC:20606871946,2008,0,0,0,0,0,0,0,0,0
"Venta Departamento en Ocasión, 4 dormitorios en Villa El Salvador","Villa El Salvador, Lima, Lima",65000.0,130,2,4,Departamento,"Venta Departamento en Ocasión, 4 dormitorios en Villa El Salvador",0,0,0,1,1,1,0,0,1,0
"VENDO CASA EN YURIMAGUAS, LORETO, PERÚ","Yurimaguas, Alto Amazonas, Loreto",54054.0,130,2,3,Casa,"Esta Casa cuenta con: Una Cochera, Patio, Sala, Cocina, 03 habitaciones, lavandería, escalera para segundo piso; con proyección.",0,1,0,0,1,0,0,0,1,0
SE VENDE CASA EN YURIMAGUAS LORETO,"Yurimaguas, Alto Amazonas, Loreto",94595.0,397,5,4,Casa,"ESTA CASA ESTÁ UBICADO A UNA CUADRA DE LA VÍA DE EVITAMIENTO, CUENTA CON: SALA, COMEDOR, ZONA DE LAVANDERIA, 4 HABITACIONES, SALA STAR, 2 PATIOS, PISCINA, POZO DE SUMINISTRO DE AGUA, TANQUE ELEVADO.",0,0,0,0,1,0,0,0,1,1
SE VENDE CASA/LOCAL EN YURIMAGUAS LORETO,"Yurimaguas, Alto Amazonas, Loreto",40541.0,233,2,1,Casa,ESTE ES LOCAL CUENTA CON MAQUINARIA PARA LA FABRICACIÓN DE HIELO.,0,0,0,0,1,0,0,0,0,0
VENDO CASA CON LOCAL COMERCIAL EN YURIMAGUAS LORETO,"Yurimaguas, Alto Amazonas, Loreto",75676.0,219,2,2,Casa,Vendemos este inmueble que cuenta con:,0,0,0,0,1,0,0,0,0,0
SE VENDE CASA EN YURIMAGUAS LORETO,"Yurimaguas, Alto Amazonas, Loreto",200000.0,250,4,4,Casa,"ESTA CASA CONSTA DE: SALA STAR, COCINA COMEDOR, 04 HABITACIONES CON BAÑO, COCHERA, OFICINA, BIBLIOTECA, ALMACEN, AREA DE LAVANDERÍA, AREA DE PISCINA, 1 HABITACIÓN PARA VISITA, TERRAZA Y SS,HH VISITA.",0,1,0,0,1,0,0,0,1,1
Vendo local en Yurimaguas,"Francisco Bardales 317, Yurimaguas, Alto Amazonas, Perú  Yurimaguas, Alto Amazonas, Loreto",30000.0,70,2,3,Casa,"Propiedad de 2 pisos de material noble, con Frente a la Calle Francisco Bardales, para uso comercial en el primer piso.",2004,0,0,0,0,1,0,0,0,0
SE VENDE CASA EN YURIMAGUAS LORETO,"Yurimaguas, Alto Amazonas, Loreto",43243.0,188,1,3,Casa,"Casa ubicada en la Vía de Evitamiento, tiene dos frentes(Vía de Evitamiento/Paris Navarro).",0,1,0,0,1,0,0,0,0,0
SE VENDE CASA EN YURIMAGUAS LORETO,"Yurimaguas, Alto Amazonas, Loreto",37838.0,80,2,4,Casa,"ESTA CASA ESTA UBICADA EN VIA PRINCIPAL DE MUCHO TRAFICO VEHICULAR, CUENTA CON SALA, 4 HABITACIONES, UNA DE ELLAS CON BAÑO PROPIO, COCINA COMEDOR SERVICIOS HIJIENICOS Y ZONA DE LAVANDERIA.",0,0,0,0,1,0,0,0,0,0
VENTA DE CASA DE CAMPO EN YURIMAGUAS CON AMPLIOS JARDINES Y AREAS VERDES,"3VMC+MQ Yurimaguas, Perú  Yurimaguas, Alto Amazonas, Loreto",2990000.0,142200,9,9,Casa,CONTACTO: GILBERTO ROJAS PAZOS,2004,1,1,0,0,1,0,0,1,0
Venta de Casa y Local Comercial en Calle Arica y Garcilaso - Yurimaguas,"C. Arica 413, Yurimaguas 16501, Perú  Yurimaguas, Alto Amazonas, Loreto",500000.0,630,12,15,Casa,ANITA DEL ÁGUILA,2000,0,1,1,1,0,0,0,1,0
"Se Vende Casa de 3 pisos - Yurimaguas, Loreto","Bolognesi, Yurimaguas 16501, Perú  Yurimaguas, Alto Amazonas, Loreto",137000.0,330,3,7,Casa,"¡GRAN OPORTUNIDAD! Se Vende Casa de 3 pisos - Yurimaguas, Loreto",2003,0,0,1,1,1,0,0,0,0
VENDO O ALQUILO CASA EN YURIMAGUAS LORETO,"Yurimaguas, Alto Amazonas, Loreto",350000.0,707,5,5,Casa,"Este inmueble se encuentra extragicamente ubicada en una via principal de la Ciudad; es amplia y cuenta con: Cochera, un salón amplio, patio; primer departamento que asu vez tiene una sala, cocina, 3 habitaciones, una de ellas con baño propio y un baño común. El segundo departamento está ubicado en el segundo piso y tiene una sala, cocina comedor, dos habitaciones, baño y balcon con buena vista.",0,1,0,0,1,0,0,0,1,0
"VENDO CASA EN YURIMAGUAS, LORETO, PERÚ","Yurimaguas, Alto Amazonas, Loreto",380000.0,1020,6,3,Casa,"Esta inmueble cuenta con: 1 Casa en la parte delantera con un Area de 285 m2, proyectada a dos pisos; cuenta con, Sala, comedor, cocina, 3 habitaciones, habitación principal con baño propio y baño comun. 1 Patio amplio. 1 Mini Departamento con, Sala , Cocina comedor, dos habitaciones, baño. Local para gimnasio de dos pisos con un area de 255 m2 con proyección a 5 pisos. Baño y duchas para Damas y otra para Caballeros, Cuarto para Sauna, Zona de Lavandería y Cochera amplia.",0,1,0,0,1,0,0,0,1,0
"SE VENDE HOSPEDAJE EN PAMPA HERMOSA, YURIMAGUAS, LORETO","Yurimaguas, Alto Amazonas, Loreto",270270.0,797,2,6,Casa,"ESTE HOSPEDAJE CUENTA EN TOTAL CON 50 HABITACIONES, 35 EN EL PRIMER PISO Y 15 EN EL SEGUNDO PISO; DE LAS CUALES 3 HABITACIONES TIENEN BAÑO PROPIO Y HAY SERVICIOS HIGIENICOS COMUNES PARA LAS DEMAS HABITACIONES.cUENTA CON UN DEPARTAMENTO DE DOS HABITACIONES, SALA, CICINA COMEDOR Y SERVICIOS HIGIENICO.",0,0,0,0,1,0,0,0,0,0
"SE VENDE ALOJAMIENTO EN YURIMAGUAS, LORETO","Yurimaguas, Alto Amazonas, Loreto",175676.0,400,10,16,Casa,"ESTE ALOJAMIENTO CUENTA CON 14 HABITACIONES CON BAÑO PROPIO, 2 HABITACIONES MAS POR HABILITAR, UN DEPARTAMENTO CON DOS HABITACIONES, SALA, COCINA Y BAÑO.",0,0,0,0,1,0,0,0,0,0
HERMOSOS DEPARTAMENTOS CON GRAN VISTA EN ZONA COMERCIAL DE YANAHUARA,"Yanahuara, Arequipa, Arequipa",106000.0,86,2,3,Departamento,"Departamento de 86 m2, ubicado en calle chullo cerca a zona comercial y financiera de Yanahuara.",0,0,0,0,0,0,0,0,0,0
DEPARTAMENTOS EN PIEDRA SANTA YANAHUARA,"Yanahuara, Arequipa, Arequipa",130000.0,107,2,3,Departamento,EDIFICIO PIEDRA SANTA F11 DEPARTAMENTOS EN PRE-VENTA,0,1,0,0,1,0,1,0,1,0
Oportunidad!! Excelente casa en Zorritos Tumbes!!,"Autopista Panamericana Norte, Zorritos, Perú  Zorritos, Contralmirante Villar, Tumbes",200000.0,522,5,5,Casa,"¡Esta casa sumamente cómoda y moderna en Carretera Panamericana Norte, en Zorritos, Perú, es perfecta para disfrutar de las playas de la costa norte!",0,1,0,0,0,1,0,0,1,0
Vendo Departamento cerca Av. Universitaria En Comas,"Av Retablo, Comas, Perú  Comas, Lima, Lima",53580.0,70,2,3,Departamento,Dormitorios : 3,2017,0,0,0,0,0,0,0,0,0
Vendo Lindos Departamentos En Arequipa Umacollo,"Av enmel 100, Arequipa, Arequipa, Arequipa, Peru  Arequipa, Arequipa, Arequipa",132000.0,96,3,3,Departamento,"VENDO LINDOS DEPARTAMENTOS EN UMACOLLO, MUY CERCA A LA UNIVERSIDAD CATOLICA SANTA MARIA",2021,1,0,1,0,1,0,0,0,0
REMATO VENTA DE DEPARTAMENTO CERCA A LA AV AMANCAES-RIMAC,"Rimac, Lima, Lima",49000.0,54,1,2,Departamento,JIMMY MENDOZA 9.9.2.8.6.2.6----,2013,0,1,1,1,1,0,0,0,0
Venta de Departamento Cerro Colorado - Arequipa,"Urbanización El Rosario, Arequipa, Perú  Cayma, Arequipa, Arequipa",121000.0,113,2,3,Departamento,"Departamento en 4to. piso con ascensor, 97 m2",0,1,1,1,1,1,0,1,1,0
"Venta de cómodo departamento en Surco, Residencial Los jardines de Surco","Ate, Lima, Lima",113000.0,82,2,3,Departamento,"En venta cómodo departamento de 82 m2 vista a la calle, listo para mudarse",0,1,1,1,0,1,0,0,0,0
00489 - VENTA CASA YARINACOCHA - MATERIAL SEMINOBLE - AT 216 M2,"Distrito de Yarinacocha, Coronel Portillo, Ucayali",82973.0,152,2,2,Casa,00489 - VENTA CASA YARINACOCHA - MATERIAL NOBLE - AT. 216.00  M2.,0,1,0,0,1,0,0,0,0,0
"Venta de cómodo departamento en Surco, Residencial Los jardines de Surco","Ate, Lima, Lima",113000.0,84,2,3,Departamento,"Venta de cómodo departamento en Surco, Residencial Los jardines de Surco",0,1,1,1,0,1,0,0,1,0
Lindo Y Moderno Departamento En Cayma Parte Baja,"Mirasol de Cayma, Cayma, Perú  Cayma, Arequipa, Arequipa",105000.0,100,2,2,Departamento,"Hermoso departamento Tipo Flat en Pre- venta con excelente ubicación, se encuentra en una urbanización privada y súper segura en la parte baja de Cayma. El departamento tiene un área de 100 m2, se encuentra en el 1er Nivel y tiene las siguientes características: 02 habitaciones cómodas y amplias, la habitación principal con baño privado 01 Sala y comedor 01 lindo patio 01 Hermosa y moderna cocina concepto abierto 01 Lavandería cómoda, útil y amplia 01 baño completo compartido para las habitaciones. El departamento se encuentra cerca de parques y a Los Ángeles de Cayma.",2023,0,0,0,0,0,0,0,1,0
00112 VENTA CASA YARINACOCHA - AT 570m2,"Distrito de Yarinacocha, Coronel Portillo, Ucayali",160000.0,200,2,3,Casa,00112  VENTA CASA YARINACOCHA -  AT 570 m2,0,1,0,0,1,0,0,0,0,0
00526 - VENTA CASA YARINACOCHA - AMPLIO TERRENO - AT 1020 M2,"Yarinacocha, Coronel Portillo, Ucayali",190000.0,267,4,4,Casa,"00526 - VENTA CASA YARINACOCHA - MATERIAL NOBLE - AMPLIO TERRENO - AT. 1,020.00  M2.",0,1,0,0,1,0,0,0,1,0
¡Gran Oportunidad! Se vende Flat en 3er Piso - Rímac,"Valle Riestra 167, Cercado de Lima 15096, Perú  Rimac, Lima, Lima",79000.0,138,3,3,Departamento,¡Aprovecha esta oportunidad! A la venta Flat en 3er Piso en el distrito del Rímac.,1976,0,1,1,1,1,0,0,0,0
se vende casa en el rimac,"Urb.el bosque, Calle Carlos Andres Saco Oliveros, Rímac, Perú  Rimac, Lima, Lima",237000.0,190,5,10,Casa,VENDO CASA MULTIFAMILIAR EN EL RIMAC,2001,1,0,0,0,1,0,0,1,0
Venta De Departamento En Urb El Bosque,"Rimac, Lima, Lima",75000.0,83,2,3,Departamento,VENTA HERMOSO DEPARTAMENTO EN URB EL BOSQUE.AV CARLOS VALDERRAMA,2008,0,1,1,1,1,0,0,1,0
¡Gran Oportunidad! Venta de Departamento con Vista Externa en Miraflores,"Vargas Machuca 515, Lima, Perú  Miraflores, Lima, Lima",225000.0,112,2,3,Departamento,Para más información: Rina Barrios,1997,1,0,1,1,1,0,0,0,0
Vendo Lindo Departamento Frente A Piscina En Exclusivo Condominio De Asia A 10 Min. Del Boulevard De Asia,"Asia, Cañete, Lima",89900.0,82,2,2,Departamento,"¿Buscas un lugar alejado del ruido y el caos limeño? donde respires aire puro, y la tranquilidad de un ambiente natural ¡Tenemos lo que necesitas para ti y tu familia! en esta hermosa casa pensada en dar calidad de vida.",2017,1,0,0,1,0,0,0,1,0
SE VENDE CASA EN YURIMAGUAS LORETO,"Yurimaguas, Alto Amazonas, Loreto",32432.0,134,2,5,Casa,"ESTA CASA CUENTA CON SALA, COCINA COMEDOR, 5 HABITACIONES, ZONA DE LAVANDERIA, SERVICIOS HIGIENIECOS PATIO.",0,0,0,0,1,0,0,0,1,0
