titulo,departamento,precio,ubicacion,m2,habitaciones,banios,descripcion_1,descripcion_2,c_interiores,c_exteriores,entorno
"Casa en venta Alpamayo, Avenida Mariscal Toribio Luzuriaga, Huaraz, Perú",18 casas en venta en Ancash,"467,500","Alpamayo, avenida mariscal toribio luzuriaga, huaraz, perú","7,590m2",,,"Ideal para centro recreacional, hotel, desarrollo urbano (venta por lote), y uso agrícola, tiene agua. Ubicación es Valle Callejón de Huaylas - Sector Llupa UTM Centroide Este 229,399 Centroide Norte 348,309 Linderos colinda con V.C. 48482 / 48448 / 48441 / 48422",,,,
"Casa en venta Av. Los Álamos, Chimbote, Perú",18 casas en venta en Ancash,"139,000","Av. los álamos, chimbote, perú",184m2,8 Habitaciones,4 Baños,": , MantyObras Inmobiliaria tiene a la venta una casa de 2 pisos, mas azotea, ubicada en la calle Los Álamos, Urb. Las Casuarinas, 1ra Etapa, Distrito de Nuevo Chimbote, en Provincia de Santa y Departamento de Áncash. ,  , El inmueble cuenta con obras completas de habilitación urbana tales como: pistas asfaltadas, veredas de concreto, alumbrado público, servicio de agua, desagüe, luz y teléfono. Cerca de parques, colegios y avenidas. ,  , Principales vías ","de acceso: Avenida A, Avenida Pacifico, Av. Los Álamos, Av. Central, Panamericana Norte, entre otras. ,  , Descripción : ,  , 1er piso. Cochera, Sala-Comedor, 2 baños completos, 4 Habitaciones, Patio sin techar, Lavandería, Escaleras de acceso al segundo y tercer nivel. , 2do piso. Se encuentran un Pasadizo que tiene 1er. Dpto. Con  balcón a la calle, con 1 Habitación, Sala-Comedor, Cocina y Baño. El 2do Dpto., tiene Sala-Comedor, Cocina, Baño y 3 Habitaciones. , 3er piso. Se encuentra una azotea abierta con un lavadero y tendal. ,  , 25 años de antigüedad. Año de construcción 1998. ,  , Cada departamento en el segundo nivel cuenta con medidor independiente para consumo de electricidad, también el inmueble cuenta con medidor para el consumo del agua de toda la propiedad. ,  , Área construida: 184 m2 , Área ocupada:    184 m2 ,  , Precio de venta: USD $ 139.000 , (Precio a tratar) ,  ,  , ABSTENERSE CORREDORES. ,  ,  , COD: LCGB-0723-LS","Amoblado: Sin amoblar,Balcón,Agua","Año de construcción: 1,998,Estacionamientos,Terraza,BBQ","Cerca a avenidas principales,Cerca a Centro Comercial,Cerca de parques,Cerca a Centro Comercial"
"Casa en venta Cascas Trujillo Peru, Perú",22 casas en venta en Cajamarca Departamento,"247,000,247,000","Cascas trujillo peru, perú",900m2,3 Habitaciones,2 Baños,"Atención inversionistas !! ,  , Casa en excelente ubicación , en esquina con amplias fronteras ;ubicada en una de las calles principales de Cascas , a pocas cuadras de la plaza de armas , cerca a tiendas y restaurantes y a sólo 2 horas de Trujillo. ,  , A precio de terreno con doble Frontera de 40 x 22.5m2 y con una casa de aproximadamente 80 m2. , Inscrito en RRPP Venta y con copia literal.",,"Amoblado: Sin amoblar,Agua","Año de construcción: 1,973","Cerca a avenidas principales,Cerca de parques,Cerca a Centro Comercial"
"Casa en venta Parcona, Ica, Per",2 casas en venta en Ayacucho,"21,642","Parcona, ica, per",120m2,,,"* Ubicación y referencias: Parcona, Elian Karp a 7 minutos del centro de Ica. Cerca al Bosque de Piedras y Mirador de Parcona. , * Usos posibles: Vivienda, Botica, Bodega, Peluquería, otros , * Metraje: 120m2 (6 ancho / 20 fondo)",,,,Cerca de parques
"Casa en venta San Sebastian, Cusco",26 casas en venta en Cusco Departamento,"982,500","San Sebastian, Cusco",,,,TGEgQ2FzYSB0aWVuZSAzICBwbGFudGFzLCB1c2FkYSB5IGNvbnN0cnVpZGEgaGFjZSA1MiBhw7Fvcy4gRWwgZXN0YWRvIGFjdHVhbCBkZWwgaW5tdWVibGUgZXM6IFJlZ3VsYXIuIFN1IHVzbyBwdWVkZSBzZXIgcGFyYTogVml2aWVuZGEsIE9maWNpbmEuIFBvc2VlIFZpc3RhIGEgQ2FsbGUuIExhIHByb3BpZWRhZCBlc3TDoSBjb25zdGl0dWlkYSBwb3IgdW4gw6FyZWEgZGUgVGVycmVubyBkZSA1NjUgbTIsIDU2NSBtMiBkZSDDoXJlYSBjb25zdHJ1aWRhLiA=,,"Área útil: 565,Amoblado: Sin amoblar","Año de construcción: 1,970",
"Casa en venta Arequipa Distrito, Arequipa",245 casas en venta en Arequipa Departamento,"265,000",Arequipa,256m2,6 Habitaciones,3 Baños,"CASA EN VENTA EN URB. PRIVADA · CERCA A LA COOP. UNIVERSITARIA Y UNSA · CERCADO ,  , ••••••••••••••••••••••••• ,  , Se ubica en una zona privada, tranquila y con vigilancia. ,  , Cuenta con Parque y buen clima. . , ••••••••••••••••••••••••• , Área de terreno: 150 m² , Área construida: 256 m² , ••••••••••••••••••••••••• , Precio: $265,000 dólares ( precio negociable) , ••••••••••••••••••••••••• , Características: ,  , 1ER PISO: , Sala/comedor amplio , Cocina amplia con acceso al p","atio  , 1 baños social   ,  Patio/Jardín  ,  Cochera para 2 autos ,  , 2DO PISO: , 1 dormitorio con baño privado , 2 dormitorios secundarios  , 1 baño  , Sala de estar  ,  , 3ER PISO: , 2 dormitorios , 1 Cuarto de servicio Espacio para lavandería , Tendales , Tanque de agua y therma solar.",,Estacionamientos,Cerca de parques
"Casa en venta Arequipa Distrito, Arequipa",245 casas en venta en Arequipa Departamento,"285,000",Arequipa,291.25m2,4 Habitaciones,2 Baños,"SE VENDE CASA COMO TERRENO PARA PROYECTO DE FRENTERA 11.65m DE FONDO 25.1m AREA DE TERRENO 291.25 AREA CONSTRUIDA 226.20m CUENTA CON LO SIGUIENTE : PRIMER PISO SALA COMEDOR , BAÑO DE VISITAS, SALA DE MUSICA, ESTUDIO, COCINA COCHERA PARA CAMIONETA , DEPOSITO Y UN PATIO CON JARDIN AMPLIO SEGUNDO PISO 4 HABITACIONES BAÑO COMPLETO TERRAZA GRANDE IDEAL PARA PROYECTO INMOBILIARIO. CERCA A PARQUE , MERCADO CENTROS COMERCIALES, HOSPITAL, FARMACIAS Y CLINICAS MOVILIDAD EN AVENIDAS CERCANAS SE ACEPTAN PROPUESTAS ,  , GONZALO DEL CARPIO - ",,Amoblado: Sin amoblar,"Año de construcción: 1,980","Cerca a avenidas principales,Cerca de parques"
"Casa en venta Cerro Colorado, Arequipa, Perú",245 casas en venta en Arequipa Departamento,"350,000","Cerro colorado, arequipa, perú",196m2,3 Habitaciones,4 Baños,"PRE-VENTA EN QUINTA PRIVADA DE 14 CASAS. , ÁREAS VERDES. , ACABADOS DE PRIMERA CALIDAD. , PRIVACIDAD, SEGURIDAD Y EXCLUSIVIDAD. ,  , CERCA A COLEGIO SOPHIANUM, AREQUIPA CENTER, BANCOS, ETC. ,  , CARACTERÍSTICAS: , * Área Techada: 196m2 , * Área Azotea: 59m2 , * Área Jardín: 115m2 ,  , CONSTAN DE: , ° Primer nivel: ,  , * Hall de ingreso , * Sala, Comedor , * Cocina y comedor de diario , * Sala de estar , * Baño social , * Jardín exterior , * 02 cocheras , * Jardín interior ,  , ° Segundo Nivel: , * 01 Dormitorio principal con  closet y baño privado , * 02 Dormitorios secundarios. , * 01 Baño familiar compartido ,  , ° Tercer nivel: , * Amplia terraza , * 01 Baño social ,  , PRECIO: US$350,000 , - Incluye Cocina equipada con cocina a gas, horno eléctrico y campana extractora. , INFORMES: ","//,.","Amoblado: Semi-amoblado,Armario empotrado,Línea Blanca,Internet,Agua","Año de construcción: 2,023,Estacionamientos,Terraza,Caseta de vigilancia,Jardín,Caseta de vigilancia,Seguridad privada","Cerca a avenidas principales,Cerca a Centro Comercial,Cerca de parques,Cerca a Centro Comercial,Vista panorámica"
"Casa en venta Yanahuara, Arequipa",245 casas en venta en Arequipa Departamento,"298,000","Yanahuara, Arequipa",240m2,3 Habitaciones,3 Baños,"EN VENTA CASA EN QUINTA DE LAS NUECES · YANAHUARA  , •••••••••••••••••••••••••••••••••••••••••••••••••• , • Ubicada a dos cuadras de la plaza de Yanahuara. , • La quinta comparte un área de patio con pileta. , • Cuenta con techo alto (bóveda en sillar). , •••••••••••••••••••••••••••••••••••••••••••••••••• , • Área: 240 m² , •••••••••••••••••••••••••••••••••••••••••••••••••• , • Precio: $ 298,000 dólares  , •••••••••••••••••••••••••••••••••••••••••••••••••• ,  , Caract","erísticas: ,  , Primer piso ,  , • Sala/ Comedor con techo alto. ,  , • Baño social. ,  , • Cocina con reporteros altos y bajos, mesada de cuarzo. ,  , •Cuenta con cochera. ,  , Segundo piso ,  , • Hall.  ,  , • Sala de estar. ,  , • Habitación principal con baño privado y balcón. ,  , • Dos habitaciones secundarias. ,  , •Baño. ,  , Tercer piso  ,  , • Zona de lavandería. ,  , • Amplia terraza. , ••••••••••••••••••••••••••••••••••••••••••••••••••",,,
"Casa en venta Cartucho, Cajamarca, Perú",4 casas en venta en Amazonas,"350,000","Cartucho, cajamarca, perú",637.23m2,5 Habitaciones,5 Baños,"IMPERIA VENDE HERMOSA Y AMPLIA CASA DE 637.23 m2, ubicado en la Ciudad de Cajamarca; con 04 años de construcción y tres pisos que lo definen con una incomparable vista a Valle. Con ubicación céntrica en la Ciudad puedes tener la casa de tus sueños, a 5 minutos del Nuevo Hospital en construcción, a 10 minutos de los centros comerciales y la plaza principal de Cajamarca. Propiedad inscrita en Registros Públicos, documentos en regla, a precio de Oca","sión. ,  , Primer Piso: , 	Sala , 	Comedor , 	Cocina Amoblada , 	Terraza interna o BBQ, con Baño , 	Estacionamiento doble , 	Amplio jardín , 	Oficina , 	02 Habitaciones con baño , Segundo Piso: , 	03 Habitaciones con baño propio , 	01 Sala de estar , Tercer Piso: , 	Amplia terraza  , 	Lavandería y tendal  ,  , DOCUMENTOS EN REGLA  , VALOR DE VENTA: US$ 350,000 ,  , INFORMES Y VISITAS AL 9*7*0*4*3*3*8*1*9","Amoblado: Semi-amoblado,Armario empotrado,Línea Blanca","Año de construcción: 2,019,Estacionamientos,Terraza,Caseta de vigilancia,Jardín,BBQ","Cerca a Centro Comercial,Cerca de parques,Cerca a Centro Comercial,Vista panorámica"
